35660	1956
31140	1367
32120	1384
34760	1450
35620	1503
29880	1283
33420	1454
35740	1544
32240	1414
31680	1388
32620	1421
35060	1527
35260	1569
30980	1343
34680	1528
34320	1476
29180	1290
33500	1441
32040	1435
33220	1451
32100	1419
31360	1392
34440	1471
35680	1525
35800	1568
31180	1407
30920	1390
31520	1403
26540	1189
35060	1526
30680	1353
35600	1562
37200	1619
33260	1502
29380	1281
35400	1530
32300	1467
32140	1380
30280	1317
33660	1466
33760	1479
32760	1412
29100	1299
33840	1478
31960	1400
35400	1592
32840	1500
32180	1547
32620	1536
34020	1530
